iter	Passed	Remaining
406	6381	32814
407	6396	32799
408	6412	32784
409	6429	32772
410	6444	32754
411	6459	32738
412	6473	32711
413	6487	32686
414	6499	32656
415	6511	32622
416	6524	32592
417	6537	32564
418	6551	32536
419	6563	32503
420	6575	32470
421	6588	32440
422	6601	32412
423	6613	32381
424	6625	32345
425	6637	32316
426	6650	32285
427	6663	32258
428	6678	32241
429	6689	32205
430	6702	32176
431	6716	32150
432	6729	32122
433	6742	32096
434	6753	32062
435	6767	32034
436	6781	32013
437	6794	31987
438	6808	31962
439	6825	31955
440	6844	31957
441	6862	31951
442	6878	31938
443	6897	31937
444	6914	31932
445	6931	31923
446	6949	31916
447	6963	31897
448	6986	31913
449	7004	31907
450	7021	31898
451	7037	31888
452	7058	31894
453	7075	31886
454	7090	31870
455	7107	31857
456	7122	31838
457	7136	31819
458	7150	31795
459	7164	31775
460	7182	31766
461	7196	31744
462	7210	31723
463	7225	31704
464	7238	31676
465	7252	31653
466	7267	31639
467	7281	31615
468	7295	31593
469	7310	31577
470	7324	31552
471	7337	31525
472	7349	31496
473	7362	31470
474	7376	31448
475	7391	31428
476	7404	31404
477	7421	31391
478	7436	31375
479	7451	31359
480	7465	31334
481	7483	31331
482	7496	31306
483	7513	31295
484	7526	31270
485	7542	31254
486	7556	31233
487	7572	31222
488	7585	31196
489	7599	31175
490	7613	31149
491	7626	31125
492	7638	31097
493	7653	31078
494	7668	31060
495	7681	31037
496	7694	31012
497	7707	30984
498	7719	30955
499	7732	30930
500	7745	30905
501	7760	30885
502	7772	30860
503	7784	30829
504	7797	30802
505	7810	30777
506	7823	30753
507	7836	30727
508	7847	30697
509	7860	30671
510	7873	30646
511	7886	30623
512	7899	30595
513	7910	30564
514	7923	30539
515	7935	30511
516	7949	30491
517	7962	30465
518	7973	30434
519	7986	30410
520	7999	30385
521	8013	30364
522	8025	30336
523	8037	30309
524	8051	30287
525	8064	30263
526	8078	30244
527	8090	30218
528	8102	30188
529	8115	30163
530	8127	30139
531	8141	30116
532	8152	30085
533	8165	30063
534	8178	30040
535	8192	30017
536	8205	29994
537	8218	29971
538	8230	29944
539	8243	29921
540	8256	29898
541	8270	29877
542	8283	29855
543	8295	29827
544	8307	29802
545	8321	29779
546	8335	29761
547	8348	29737
548	8360	29709
549	8372	29684
550	8385	29661
551	8398	29637
552	8409	29609
553	8423	29587
554	8436	29565
555	8448	29540
556	8460	29513
557	8472	29485
558	8485	29462
559	8498	29442
560	8513	29424
561	8527	29406
562	8540	29383
563	8552	29357
564	8566	29337
565	8581	29323
566	8599	29317
567	8612	29294
568	8626	29274
569	8640	29257
570	8654	29236
571	8667	29216
572	8683	29202
573	8698	29185
574	8717	29183
575	8734	29175
576	8748	29155
577	8760	29132
578	8774	29113
579	8791	29103
580	8808	29095
581	8823	29076
582	8838	29063
583	8855	29052
584	8882	29077
585	8952	29239
586	9018	29391
587	9046	29416
588	9101	29530
589	9120	29526
590	9140	29523
591	9154	29505
592	9172	29498
593	9191	29492
594	9208	29481
595	9222	29462
596	9239	29451
597	9254	29435
598	9269	29418
599	9285	29402
600	9299	29384
601	9313	29364
602	9330	29351
603	9344	29332
604	9359	29316
605	9378	29310
606	9398	29311
607	9419	29312
608	9439	29309
609	9457	29301
610	9474	29291
611	9490	29279
612	9513	29284
613	9532	29279
614	9553	29282
615	9578	29294
616	9600	29299
617	9624	29309
618	9649	29321
619	9672	29329
620	9693	29330
621	9711	29322
622	9728	29310
623	9746	29301
624	9761	29285
625	9781	29281
626	9798	29269
627	9816	29260
628	9833	29248
629	9849	29234
630	9864	29217
631	9879	29202
632	9897	29191
633	9914	29181
634	9933	29175
635	9952	29168
636	9967	29152
637	9984	29139
638	9999	29122
639	10014	29105
640	10031	29092
641	10047	29078
642	10062	29060
643	10076	29041
644	10091	29021
645	10106	29006
646	10121	28988
647	10136	28970
648	10151	28952
649	10167	28938
650	10183	28923
651	10199	28908
652	10212	28887
653	10228	28872
654	10242	28851
655	10257	28833
656	10273	28818
657	10289	28805
658	10307	28796
659	10332	28805
660	10349	28793
661	10367	28783
662	10383	28769
663	10402	28762
664	10417	28747
665	10432	28728
666	10447	28710
667	10464	28698
668	10480	28683
669	10494	28664
670	10509	28645
671	10525	28631
672	10542	28618
673	10553	28591
674	10569	28576
675	10583	28557
676	10597	28536
677	10611	28515
678	10626	28498
679	10640	28479
680	10655	28462
681	10672	28450
682	10690	28441
683	10707	28429
684	10724	28414
685	10741	28403
686	10759	28394
687	10775	28380
688	10792	28368
689	10810	28358
690	10827	28345
691	10842	28328
692	10857	28311
693	10871	28291
694	10885	28271
695	10902	28257
696	10919	28245
697	10936	28234
698	10954	28225
699	10971	28212
700	10986	28194
701	11000	28174
702	11013	28153
703	11027	28133
704	11045	28122
705	11063	28114
706	11081	28102
707	11094	28080
708	11108	28061
709	11122	28041
710	11137	28023
711	11152	28007
712	11168	27991
713	11184	27976
714	11199	27958
715	11215	27943
716	11234	27937
717	11253	27928
718	11270	27918
719	11283	27896
720	11297	27876
721	11313	27860
722	11328	27843
723	11345	27829
724	11365	27826
725	11383	27816
726	11402	27807
727	11419	27795
728	11441	27795
729	11461	27790
730	11485	27794
731	11503	27784
732	11523	27779
733	11541	27769
734	11557	27753
735	11572	27737
736	11590	27726
737	11606	27710
738	11622	27694
739	11638	27681
740	11654	27666
741	11669	27647
742	11683	27628
743	11699	27612
744	11713	27593
745	11729	27577
746	11745	27562
747	11763	27552
748	11780	27539
749	11796	27524
750	11812	27508
751	11828	27493
752	11844	27478
753	11862	27469
754	11878	27454
755	11893	27436
756	11908	27419
757	11924	27403
758	11938	27383
759	11952	27364
760	11966	27345
761	11981	27327
762	11995	27309
763	12009	27289
764	12023	27269
765	12037	27249
766	12052	27232
767	12067	27214
768	12082	27197
769	12097	27179
770	12112	27162
771	12127	27145
772	12142	27128
773	12158	27112
774	12174	27097
775	12189	27080
776	12203	27060
777	12216	27039
778	12230	27019
779	12244	27000
780	12259	26983
781	12275	26968
782	12291	26952
783	12306	26936
784	12321	26919
785	12337	26903
786	12352	26886
787	12367	26870
788	12382	26851
789	12397	26836
790	12411	26814
791	12425	26797
792	12438	26775
793	12454	26759
794	12468	26741
795	12483	26723
796	12497	26704
797	12513	26688
798	12528	26671
799	12542	26651
800	12556	26634
801	12570	26614
802	12584	26595
803	12598	26575
804	12613	26558
805	12628	26541
806	12643	26524
807	12658	26506
808	12672	26489
809	12688	26473
810	12704	26457
811	12719	26441
812	12733	26422
813	12747	26402
814	12760	26382
815	12774	26363
816	12789	26346
817	12804	26328
818	12818	26309
819	12834	26294
820	12852	26283
821	12868	26268
822	12885	26256
