PPD_0,PPD_1,PPD_2,PPD_3,PPD_4,RRD_0,RRD_1,RRD_2,RRD_3,RRD_4,RPD_0,RPD_1,RPD_2,RPD_3,RPD_4,PRD_0,PRD_1,PRD_2,PRD_3,PRD_4,Hold_Time_0,Hold_Time_1,Hold_Time_2,Hold_Time_3,Hold_Time_4,PPD_Sum,RRD_Sum,RPD_Sum,PRD_Sum,Typing_Speed_Avg,Typing_Speed_Max,Typing_Speed_Min,HT_Sum,Hold_Time_Avg,Hold_Time_Std,Key_Type_1,Key_Type_2,Key_Type_3,Key_Type_4,Key_Type_5,Key_Section_1,Key_Section_2,Key_Section_3,Key_Section_4,Key_Section_5,label
0.622705,1.773578,0.187921,0.292519,0.356692,0.304396,1.752329,0.221519,0.304723,0.33951,0,1.667528,0.10312,0.17412,0.226089,0,1.858379,0.30632,0.423122,0.470113,0.10605,0.084801,0.118399,0.130603,0.113421,3.233415,2.922477,2.170857,3.057934,0.646683,1.773578,0.187921,0.553274,0.11065480000000001,0.015199857478279195,7,4.0,7.0,4.0,4.0,8,3.0,1.0,5.0,3.0,1
0.337262,0.242239,0.294797,0.150168,0.182183,0.319198,0.244694,0.293272,0.135422,0.251491,0,0.146882,0.196985,0.053881,0.100642,0,0.340051,0.391084,0.231709,0.333032,0.095357,0.097812,0.096287,0.081541,0.150849,1.206649,1.2440769999999999,0.49839,1.295876,0.2413298,0.337262,0.150168,0.521846,0.10436920000000001,0.023962625485534763,4,4.0,0.0,7.0,4.0,1,5.0,9.0,1.0,1.0,1
0.152975,0.211067,0.144868,0.160603,0.265266,0.079594,0.205053,0.152932,0.182797,0.370389,0,0.133599,0.073414,0.081085,0.163554,0,0.282521,0.224386,0.262315,0.472101,0.077468,0.071454,0.079518,0.101712,0.206835,0.934779,0.990765,0.451652,1.241323,0.1869558,0.265266,0.144868,0.536987,0.1073974,0.05076439303133644,7,4.0,4.0,4.0,4.0,1,3.0,3.0,2.0,4.0,1
0.18072,0.331135,0.133949,0.663868,58.773279,0.112558,0.280126,0.151996,0.999568,58.515021,0,0.192462,0.046285,0.558157,58.331868,0,0.418799,0.23966,1.105279,58.956432,0.138673,0.087664,0.105711,0.441411,0.183153,60.082951,60.059269,59.128772,60.720169999999996,12.0165902,58.773279,0.133949,0.956612,0.1913224,0.1291954968001594,4,4.0,4.0,7.0,4.0,6,3.0,2.0,6.0,4.0,1
0.090167,0.899396,0.298999,1888.538741,0.36902,0.085743,0.819354,0.281401,1888.564382,0.39773,0,0.720667,0.200312,1888.457652,0.26229,0,0.998083,0.380088,1888.645471,0.50446,0.178729,0.098687,0.081089,0.10673,0.13544,1890.1963230000001,1890.14861,1889.6409210000002,1890.528102,378.0392646,1888.538741,0.090167,0.600675,0.12013499999999999,0.034152015185051676,4,4.0,4.0,7.0,4.0,5,3.0,2.0,1.0,2.0,1
0.16656,0.11997,0.164081,0.239135,0.833341,0.145941,0.117721,0.144724,0.280503,0.810343,0,0.005149,0.051509,0.14592,0.698758,0,0.232542,0.257296,0.373718,0.944926,0.114821,0.112572,0.093215,0.134583,0.111585,1.523087,1.4992320000000001,0.901336,1.8084820000000001,0.3046174,0.833341,0.11997,0.5667760000000001,0.11335520000000002,0.013131205038380904,4,4.0,4.0,7.0,6.0,1,2.0,2.0,1.0,0.0,1
0.15768499999999996,0.679516,0.31462,0.159195,1.050997,0.147063,0.342955,0.390981,0.133789,1.045475,0,0.263183,0.234848,0.003062,0.92027,0,0.759288,0.470753,0.289922,1.176202,0.416333,0.079772,0.156133,0.130727,0.125205,2.046643,2.060263,1.421363,2.6961649999999997,0.4093286,1.050997,-0.15768499999999996,0.90817,0.18163400000000002,0.11990458151046605,7,5.0,5.0,5.0,5.0,6,3.0,1.0,6.0,2.0,1
0.66268,0.199349,0.229574,0.164338,0.171431,0.615292,0.24299,0.190294,0.176342,0.167872,0,0.121532,0.108116,0.08216,0.077249,0,0.320807,0.311752,0.25852,0.262054,0.077817,0.121458,0.082178,0.094182,0.090623,1.427372,1.39279,0.389057,1.153133,0.2854744,0.66268,0.164338,0.46625799999999995,0.09325159999999999,0.015259277028745495,4,4.0,4.0,4.0,0.0,6,1.0,2.0,2.0,7.0,1
2.5720549999999998,0.395861,0.172658,0.296509,0.202049,2.576918,0.43753,0.145341,0.332564,0.133509,0,0.300375,0.035503,0.186671,0.056156,0,0.533016,0.282496,0.442402,0.279402,0.095486,0.137155,0.109838,0.145893,0.077353,3.639132,3.625862,0.578705,1.5373160000000001,0.7278264,2.5720549999999998,0.172658,0.565725,0.11314500000000001,0.025505902838362727,7,4.0,4.0,4.0,4.0,1,2.0,1.0,2.0,2.0,1
0.242662,0.565594,0.264204,1.323289,0.313867,0.293829,0.597079,0.062465,0.940833,0.333647,0,0.437074,0.42420899999999995,0.836615,0.209649,0,0.725599,0.22247,1.427507,0.437865,0.12852,0.160005,0.486674,0.104218,0.123998,2.181208,2.227853,1.059129,2.813441,0.43624160000000006,1.323289,-0.264204,1.003415,0.200683,0.14411046858851026,7,6.0,7.0,5.0,5.0,1,0.0,6.0,3.0,1.0,1
